i,j,price,amplitude,lower_bound,upper_bound
INFLOW.2010-11-30 00:00:00,stor_Keswick.2010-11-30 00:00:00,0.0,1.0,0.0,0.0
stor_Keswick.2010-11-30 00:00:00,stor_Keswick.2010-12-31 00:00:00,74193.9199595,1.0,0.0,29.35686722
stor_Keswick.2010-11-30 00:00:00,flow_Keswick.2010-11-30 00:00:00,987.113425278,1.0,0.0,4414.56122045
stor_Keswick.2010-11-30 00:00:00,spill_Keswick.2010-11-30 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Keswick.2010-11-30 00:00:00,flow_Keswick.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Keswick.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-11-30 00:00:00,stor_Folsom.2010-11-30 00:00:00,0.0,1.0,153.232494611,153.232494611
stor_Folsom.2010-11-30 00:00:00,stor_Folsom.2010-12-31 00:00:00,1820.03024652,0.998749063,111.013367,1202.644809
stor_Folsom.2010-11-30 00:00:00,flow_Folsom.2010-11-30 00:00:00,5643.05712389,1.0,0.0,2874.3837863
stor_Folsom.2010-11-30 00:00:00,spill_Folsom.2010-11-30 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Folsom.2010-11-30 00:00:00,flow_Folsom.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Folsom.2010-11-30 00:00:00,stor_Nimbus.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-11-30 00:00:00,stor_Nimbus.2010-11-30 00:00:00,0.0,1.0,0.0,0.0
stor_Nimbus.2010-11-30 00:00:00,stor_Nimbus.2010-12-31 00:00:00,54528.5187812,1.0,0.0,10.85464056
stor_Nimbus.2010-11-30 00:00:00,flow_Nimbus.2010-11-30 00:00:00,463.149673792,1.0,0.0,2881.62115834
stor_Nimbus.2010-11-30 00:00:00,spill_Nimbus.2010-11-30 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Nimbus.2010-11-30 00:00:00,flow_Nimbus.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Nimbus.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-11-30 00:00:00,stor_New Melones.2010-11-30 00:00:00,0.0,1.0,74.7460441545,74.7460441545
stor_New Melones.2010-11-30 00:00:00,stor_New Melones.2010-12-31 00:00:00,438.120029521,0.999321932,98.67854843,2985.02609
stor_New Melones.2010-11-30 00:00:00,flow_New Melones.2010-11-30 00:00:00,9063.76409002,1.0,0.0,581.376673152
stor_New Melones.2010-11-30 00:00:00,spill_New Melones.2010-11-30 00:00:00,-1000.0,1.0,0.0,10000000000.0
