i,j,a3,a2,a1,c,efficiency,price,amplitude,lower_bound,upper_bound,warmstart
stor_New Melones.2010-10-31 00:00:00,flow_New Melones.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.9119878485,1.0,0.0,581.376673152,7.69924286962e-12
stor_New Melones.2010-10-31 00:00:00,spill_New Melones.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99982821998e-09
spill_New Melones.2010-10-31 00:00:00,flow_New Melones.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.9998166118e-09
flow_New Melones.2010-10-31 00:00:00,DELTA.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99208265451e-09
INFLOW.2010-10-31 00:00:00,stor_Pine Flat.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,85.3359643465,85.3359643465,85.3359651999
stor_Pine Flat.2010-10-31 00:00:00,stor_Pine Flat.2010-11-30 00:00:00,4.72e-08,-0.000125362,0.158366502,28.03055038,0.87,0.0,0.999282708,148.0178226,1233.481855,701.573304934
stor_Pine Flat.2010-10-31 00:00:00,flow_Pine Flat.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.9119878485,1.0,0.0,588.646084637,1.04564537284e-11
stor_Pine Flat.2010-10-31 00:00:00,spill_Pine Flat.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99982797798e-09
spill_Pine Flat.2010-10-31 00:00:00,flow_Pine Flat.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99981615058e-09
flow_Pine Flat.2010-10-31 00:00:00,DELTA.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.98932427918e-09
SUPERSOURCE,INFLOW.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,793.789926043
DELTA.2010-11-30 00:00:00,SUPERSINK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,2653.68514288
INFLOW.2010-11-30 00:00:00,stor_Shasta.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,346.376078605,346.376078605,346.376082069
stor_Shasta.2010-11-30 00:00:00,stor_Shasta.2010-12-31 00:00:00,3.97e-10,-5.47e-06,0.034370904,55.56257157,0.916266447,0.0,0.999171932,662.0238805,5614.932874,954.078154149
stor_Shasta.2010-11-30 00:00:00,flow_Shasta.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,31.9661698642,1.0,0.0,4106.65280227,2483.76624462
stor_Shasta.2010-11-30 00:00:00,spill_Shasta.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983994662e-09
spill_Shasta.2010-11-30 00:00:00,flow_Shasta.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983992441e-09
flow_Shasta.2010-11-30 00:00:00,stor_Keswick.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,2483.76624461
INFLOW.2010-11-30 00:00:00,stor_Keswick.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.9974006204e-09
stor_Keswick.2010-11-30 00:00:00,stor_Keswick.2010-12-31 00:00:00,0.001617646,-0.112485446,2.88127658,0.214664334,0.771623853,0.0,1.0,0.0,29.35686722,29.3568675136
stor_Keswick.2010-11-30 00:00:00,flow_Keswick.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,31.9661698642,1.0,0.0,4414.56122045,2483.76624463
stor_Keswick.2010-11-30 00:00:00,spill_Keswick.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983994514e-09
spill_Keswick.2010-11-30 00:00:00,flow_Keswick.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983992589e-09
