link,value
"('stor_Pine Flat.2010-11-30 00:00:00', 'spill_Pine Flat.2010-11-30 00:00:00')",0.0
"('spill_Pine Flat.2010-11-30 00:00:00', 'flow_Pine Flat.2010-11-30 00:00:00')",0.0
"('flow_Pine Flat.2010-11-30 00:00:00', 'DELTA.2010-11-30 00:00:00')",0.0
"('SUPERSOURCE', 'INFLOW.2010-12-31 00:00:00')",2385.54713409
"('DELTA.2010-12-31 00:00:00', 'SUPERSINK')",515.696355207
"('INFLOW.2010-12-31 00:00:00', 'stor_Shasta.2010-12-31 00:00:00')",998.388599138
"('stor_Shasta.2010-12-31 00:00:00', 'flow_Shasta.2010-12-31 00:00:00')",0.0
"('stor_Shasta.2010-12-31 00:00:00', 'spill_Shasta.2010-12-31 00:00:00')",0.0
"('spill_Shasta.2010-12-31 00:00:00', 'flow_Shasta.2010-12-31 00:00:00')",0.0
"('flow_Shasta.2010-12-31 00:00:00', 'stor_Keswick.2010-12-31 00:00:00')",0.0
"('INFLOW.2010-12-31 00:00:00', 'stor_Keswick.2010-12-31 00:00:00')",0.0
"('stor_Keswick.2010-12-31 00:00:00', 'flow_Keswick.2010-12-31 00:00:00')",0.0
"('stor_Keswick.2010-12-31 00:00:00', 'spill_Keswick.2010-12-31 00:00:00')",0.0
"('spill_Keswick.2010-12-31 00:00:00', 'flow_Keswick.2010-12-31 00:00:00')",0.0
"('flow_Keswick.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",0.0
"('INFLOW.2010-12-31 00:00:00', 'stor_Folsom.2010-12-31 00:00:00')",810.426582718
"('stor_Folsom.2010-12-31 00:00:00', 'flow_Folsom.2010-12-31 00:00:00')",467.616244391
"('stor_Folsom.2010-12-31 00:00:00', 'spill_Folsom.2010-12-31 00:00:00')",0.0
"('spill_Folsom.2010-12-31 00:00:00', 'flow_Folsom.2010-12-31 00:00:00')",0.0
"('flow_Folsom.2010-12-31 00:00:00', 'stor_Nimbus.2010-12-31 00:00:00')",467.616244391
"('INFLOW.2010-12-31 00:00:00', 'stor_Nimbus.2010-12-31 00:00:00')",0.0
"('stor_Nimbus.2010-12-31 00:00:00', 'flow_Nimbus.2010-12-31 00:00:00')",467.616244391
"('stor_Nimbus.2010-12-31 00:00:00', 'spill_Nimbus.2010-12-31 00:00:00')",0.0
"('spill_Nimbus.2010-12-31 00:00:00', 'flow_Nimbus.2010-12-31 00:00:00')",0.0
"('flow_Nimbus.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",467.616244391
"('INFLOW.2010-12-31 00:00:00', 'stor_New Melones.2010-12-31 00:00:00')",214.632551181
"('stor_New Melones.2010-12-31 00:00:00', 'flow_New Melones.2010-12-31 00:00:00')",0.0
"('stor_New Melones.2010-12-31 00:00:00', 'spill_New Melones.2010-12-31 00:00:00')",0.0
"('spill_New Melones.2010-12-31 00:00:00', 'flow_New Melones.2010-12-31 00:00:00')",0.0
"('flow_New Melones.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",0.0
"('INFLOW.2010-12-31 00:00:00', 'stor_Pine Flat.2010-12-31 00:00:00')",362.09940105
"('stor_Pine Flat.2010-12-31 00:00:00', 'flow_Pine Flat.2010-12-31 00:00:00')",48.0801108154
