date,DELTA,INFLOW,flow_Folsom,flow_Keswick,flow_New Melones,flow_Nimbus,flow_Pine Flat,flow_Shasta,spill_Folsom,spill_Keswick,spill_New Melones,spill_Nimbus,spill_Pine Flat,spill_Shasta,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2012-06-30 00:00:00,-0.0,0.0,-259.502970868,-0.0,-0.0,-0.0,-0.0,-553.080095705,-259.502970868,-0.0,-0.0,-0.0,-0.0,-553.080095705,-3421.31040367,-553.080095705,-6651.92609019,-259.502970868,-3216.47981462,-5189.35544745
2012-07-31 00:00:00,-0.0,0.0,-271.777083447,-0.0,-0.0,-0.0,-0.0,-579.239985867,-271.777083447,-0.0,-0.0,-0.0,-0.0,-579.239985867,-3583.13339821,-579.239985867,-6410.9607638,-271.777083447,-3368.61460264,-5434.80440466
2012-08-31 00:00:00,-0.0,0.0,-396.777590526,-0.0,-0.0,-0.0,-0.0,-845.654228599,-396.777590526,-0.0,-0.0,-0.0,-0.0,-845.654228599,-5231.15124977,-845.654228599,-7764.87310426,-396.777590526,-4917.96722464,-7934.47536393
2012-09-30 00:00:00,-0.0,0.0,-393.586892366,-0.0,-0.0,-0.0,-0.0,-838.853892268,-393.586892366,-0.0,-0.0,-0.0,-0.0,-838.853892268,-5189.08480739,-838.853892268,-7702.43169984,-393.586892366,-4878.41920415,-7870.67010305
2012-10-31 00:00:00,-0.0,0.0,-473.787245298,-0.0,-0.0,-0.0,-0.0,-1009.78533406,-473.787245298,-0.0,-0.0,-0.0,-0.0,-1009.78533406,-6246.45341404,-1009.78533406,-9271.93952633,-473.787245298,-5872.48417652,-9474.45958526
2012-11-30 00:00:00,-0.0,0.0,-482.764764359,-0.0,-0.0,-0.0,-0.0,-1028.9191713,-482.764764359,-0.0,-0.0,-0.0,-0.0,-1028.9191713,-6364.81383063,-1028.9191713,-9447.62812224,-482.764764359,-5983.7584674,-9653.98558924
2012-12-31 00:00:00,-0.0,0.0,-445.22038998,-0.0,-0.0,-0.0,-0.0,-948.90064607,-445.22038998,-0.0,-0.0,-0.0,-0.0,-948.90064607,-5869.8254817,-948.90064607,-8997.36354539,-445.22038998,-5518.40457583,-8903.19995992
2013-01-31 00:00:00,-0.0,0.0,-514.976942253,-0.0,-0.0,-0.0,-0.0,-1097.5731666,-514.976942253,-0.0,-0.0,-0.0,-0.0,-1097.5731666,-6789.50209834,-1097.5731666,-10078.0152741,-514.976942253,-6383.0210784,-10298.1418568
2013-02-28 00:00:00,-0.0,0.0,-517.584906687,-0.0,-0.0,-0.0,-0.0,-1103.13152491,-517.584906687,-0.0,-0.0,-0.0,-0.0,-1103.13152491,-6823.88572095,-1103.13152491,-10129.0526856,-517.584906687,-6415.34612439,-10350.2940637
2013-03-31 00:00:00,-0.0,0.0,-561.041185944,-0.0,-0.0,-0.0,-0.0,-1195.75012582,-561.041185944,-0.0,-0.0,-0.0,-0.0,-1195.75012582,-7396.81718733,-1195.75012582,-10979.4850915,-561.041185944,-6953.97675332,-11219.301818
