date,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2010-10-31 00:00:00,0.0,69385.3379651,0.0,50795.9061347,0.0,0.0
2010-11-30 00:00:00,0.0,74696.6350038,0.0,52988.6599276,0.0,0.0
2010-12-31 00:00:00,1454.69913051,70041.9964735,0.0,51892.9729098,274.669642186,0.0
2011-01-31 00:00:00,928.291243541,67229.9703977,0.0,49441.1860555,0.0,0.0
2011-02-28 00:00:00,923.428832798,58553.9373026,0.0,43055.8413988,0.0,0.0
2011-03-31 00:00:00,1362.27908549,52465.6868342,0.0,38555.9637068,0.0,691.543054117
2011-04-30 00:00:00,1322.42714129,53439.3861283,0.0,39274.3241187,0.0,753.089839301
2011-05-31 00:00:00,1241.55403621,53633.2262135,0.0,39420.4782522,0.0,625.553645061
2011-06-30 00:00:00,2718.7619997,53038.7537407,2319.31993011,38919.233608,3188.82838468,2885.75674995
2011-07-31 00:00:00,2023.98783079,70218.5327969,868.591405643,51593.5106737,891.482741571,1424.9493647
2011-08-31 00:00:00,2452.82172437,74038.9229014,832.795788649,54386.8175861,1240.36459882,1987.10731015
2011-09-30 00:00:00,1041.7120181,81638.5185855,0.0,60040.9783396,0.0,0.0
2011-10-31 00:00:00,1698.59835463,70170.9926071,0.0,51572.5541424,385.826991323,593.545533616
2011-11-30 00:00:00,1330.81580358,69923.0406768,0.0,51405.9249784,242.464489624,377.881116137
2011-12-31 00:00:00,1249.94060231,65326.2975109,0.0,48026.2113381,232.757219572,363.094545781
2012-01-31 00:00:00,228.268389526,60959.1445613,0.0,44856.0562335,0.0,0.0
2012-03-31 00:00:00,597.554270484,45699.1625881,0.0,33608.7871368,0.0,0.0
2012-04-30 00:00:00,1408.07181822,39526.854917,0.0,29031.0143015,0.0,0.0
2012-05-31 00:00:00,825.517016305,44809.6028468,0.0,32944.2396092,118.665010244,154.788038506
2012-06-30 00:00:00,1177.30156909,41597.0468878,0.0,30564.6272967,507.660405685,811.139743461
2012-07-31 00:00:00,2711.52710623,43803.5425267,1606.65195846,32122.4356941,1921.69409253,3092.11808626
2012-08-31 00:00:00,1510.59066846,63554.6925974,307.62473761,46711.068587,504.047262378,801.130619775
2012-09-30 00:00:00,2597.54000769,63221.2912487,1936.5980671,46418.8056665,1533.28895932,2461.76996623
2012-10-31 00:00:00,1972.36922061,75917.1300202,617.580044253,55789.9005064,760.37475608,1212.33526295
2012-11-30 00:00:00,1394.1509956,77256.1241333,0.0,56800.3381579,196.046015394,301.59375974
2012-12-31 00:00:00,2661.89849716,71470.4214893,1495.70643628,52487.3862584,1474.57966629,2365.47825908
2013-01-31 00:00:00,2049.5746658,82501.9075792,531.345632152,60632.9643811,737.856450767,1174.7509527
2013-02-28 00:00:00,2598.32782359,83006.7495715,1333.17301287,60980.8575445,1247.73501793,1997.29154642
2013-03-31 00:00:00,1744.09479106,89802.613027,0.0,66019.4542855,344.309322388,538.412874859
2013-04-30 00:00:00,2206.14614467,84414.7600807,559.278224546,62034.0697752,857.741459505,1367.80889831
2013-05-31 00:00:00,1942.82270349,86123.004061,261.708382595,63302.6924327,584.848554769,927.198957327
2013-06-30 00:00:00,2568.19883297,84268.3565633,1249.74996698,61910.7016092,1201.08371608,1921.78443021
