date,Shasta,Keswick,Folsom,Nimbus,New Melones,Pine Flat
2010-10-31 00:00:00,137399.693265,0.0,34347.6151319,0.0,0.0,0.0
2010-11-30 00:00:00,0.0,6.8735182097e-12,0.0,0.0,458120.614911,0.0
2010-12-31 00:00:00,0.0,0.0,3325190.70455,295810.48466,0.0,420500.469864
2011-01-31 00:00:00,14916392.6909,2444282.83591,2734242.92879,282032.634913,5757490.2565,3447065.53782
2011-02-28 00:00:00,0.0,0.0,2179660.76892,245558.19787,0.0,0.0
2011-03-31 00:00:00,0.0,0.0,3368155.3435,219662.305011,0.0,1460324.00868
2011-04-30 00:00:00,9658304.941,1599446.91113,3431342.97663,223783.237606,0.0,2735128.45963
2011-05-31 00:00:00,7328373.82763,1213602.69259,3444682.28792,224653.192691,0.0,2745761.244
2011-06-30 00:00:00,5846036.67384,968122.808034,3390962.8593,221149.751693,0.0,2702941.40958
2011-07-31 00:00:00,4117025.83174,681792.953302,2830496.27141,293853.126455,3322854.15482,3591538.21223
2011-08-31 00:00:00,4177883.95774,691871.258163,1225267.56218,142744.498264,1406421.47646,1687663.56917
2011-09-30 00:00:00,7612186.5694,1287369.38311,1357846.87122,158190.077282,7611894.53552,1566603.70806
2011-10-31 00:00:00,0.0,0.0,687576.532672,80103.1302912,0.0,0.0
2011-11-30 00:00:00,3643482.65262,603372.652872,496382.889014,57828.9417157,3526055.54069,530905.814421
2011-12-31 00:00:00,3224995.34251,534069.784552,528946.762213,61622.6549297,0.0,339442.05127
2012-01-31 00:00:00,13547129.3001,2219907.74245,851417.921267,99190.7626842,0.0,3130639.12397
2012-03-31 00:00:00,0.0,0.0,1897009.45266,191732.700846,0.0,0.0
2012-04-30 00:00:00,0.0,0.0,2031697.01051,165230.788406,0.0,0.0
2012-05-31 00:00:00,0.0,0.0,1353050.21691,157631.263816,0.0,0.0
2012-06-30 00:00:00,2103469.45091,348341.426002,511887.036699,59635.185389,0.0,554578.258218
2012-07-31 00:00:00,1749281.6556,289686.767795,441629.185042,51450.0982346,0.0,350285.25992
2012-08-31 00:00:00,2492248.56993,412724.520637,721061.260399,84004.1236795,740608.431634,505468.481565
2012-09-30 00:00:00,2479654.5925,410638.916753,639420.31573,74492.8985035,687887.754978,238817.518086
2012-10-31 00:00:00,2838796.91879,470114.061507,633376.929034,73788.8398731,645952.309156,258664.588649
2012-11-30 00:00:00,5959676.90346,986942.002018,1101245.46732,128295.840477,2531542.01782,221170.198409
2012-12-31 00:00:00,12446120.7754,2061118.33819,4186881.7524,298683.029569,0.0,514426.595054
2013-01-31 00:00:00,5957806.13165,986632.196082,1713170.54118,199585.524738,1153728.07842,526697.79483
2013-02-28 00:00:00,5914520.99698,979464.036103,1238316.36212,144264.692268,1271055.2338,550026.884602
2013-03-31 00:00:00,6982649.10025,1156349.54613,1654038.91606,192696.650487,3020236.27609,908767.363006
2013-04-30 00:00:00,6686859.74364,1107365.86052,1709174.6075,199119.995767,0.0,1595074.29155
2013-05-31 00:00:00,4362405.99884,722428.712135,1361173.88664,158577.676825,1180848.11622,1787009.19838
2013-06-30 00:00:00,3787754.99874,627264.625611,933818.834866,108790.524754,1077364.23898,883899.783158
2013-07-31 00:00:00,3551646.41156,588164.27076,848205.290187,98816.4889942,1039628.39142,607655.130775
2013-08-31 00:00:00,3632256.21378,601513.517854,895404.147099,104315.187692,1977319.0256,337435.884903
2013-09-30 00:00:00,3463645.91003,573591.099669,584011.256096,68037.7056453,0.0,252737.193211
2013-10-31 00:00:00,3416740.70905,565823.44486,343544.865461,40023.2087793,668947.279107,247234.140146
2013-11-30 00:00:00,3796698.09075,628745.63092,349539.290951,40721.5633962,805940.326826,226529.612986
2013-12-31 00:00:00,9374031.31861,1579736.73329,474236.523228,55248.875149,1780457.11273,238750.362391
2014-01-31 00:00:00,0.0,0.0,324082.03716,37755.7761414,0.0,208097.068554
2014-02-28 00:00:00,30156454.6606,4941603.91498,3085140.93996,359421.002517,12670779.2692,6208495.55446
2014-03-31 00:00:00,0.0,0.0,2099855.56693,244634.591318,0.0,0.0
