STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
NML,H,76,INFLOW,20100104,1400,17, ,CFS
NML,H,76,INFLOW,20100104,1500,978, ,CFS
NML,H,76,INFLOW,20100104,1600,17, ,CFS
NML,H,76,INFLOW,20100104,1700,979, ,CFS
NML,H,76,INFLOW,20100104,1800,977, ,CFS
NML,H,76,INFLOW,20100104,1900,977, ,CFS
NML,H,76,INFLOW,20100104,2000,1944, ,CFS
NML,H,76,INFLOW,20100104,2100,979, ,CFS
NML,H,76,INFLOW,20100104,2200,978, ,CFS
NML,H,76,INFLOW,20100104,2300,978, ,CFS
NML,H,76,INFLOW,20100105,0000,12, ,CFS
NML,H,76,INFLOW,20100105,0100,976, ,CFS
NML,H,76,INFLOW,20100105,0200,977, ,CFS
NML,H,76,INFLOW,20100105,0300,979, ,CFS
NML,H,76,INFLOW,20100105,0400,979, ,CFS
NML,H,76,INFLOW,20100105,0500,978, ,CFS
NML,H,76,INFLOW,20100105,0600,15, ,CFS
NML,H,76,INFLOW,20100105,0700,981, ,CFS
NML,H,76,INFLOW,20100105,0800,1946, ,CFS
NML,H,76,INFLOW,20100105,0900,1951, ,CFS
NML,H,76,INFLOW,20100105,1000,16, ,CFS
NML,H,76,INFLOW,20100105,1100,16, ,CFS
NML,H,76,INFLOW,20100105,1200,983, ,CFS
NML,H,76,INFLOW,20100105,1300,982, ,CFS
NML,H,76,INFLOW,20100105,1400,981, ,CFS
NML,H,76,INFLOW,20100105,1500,1951, ,CFS
NML,H,76,INFLOW,20100105,1600,983, ,CFS
NML,H,76,INFLOW,20100105,1700,-951, ,CFS
NML,H,76,INFLOW,20100105,1800,1946, ,CFS
NML,H,76,INFLOW,20100105,1900,984, ,CFS
NML,H,76,INFLOW,20100105,2000,16, ,CFS
NML,H,76,INFLOW,20100105,2100,1946, ,CFS
NML,H,76,INFLOW,20100105,2200,980, ,CFS
NML,H,76,INFLOW,20100105,2300,981, ,CFS
NML,H,76,INFLOW,20100106,0000,15, ,CFS
NML,H,76,INFLOW,20100106,0100,981, ,CFS
NML,H,76,INFLOW,20100106,0200,982, ,CFS
NML,H,76,INFLOW,20100106,0300,979, ,CFS
NML,H,76,INFLOW,20100106,0400,982, ,CFS
NML,H,76,INFLOW,20100106,0500,982, ,CFS
NML,H,76,INFLOW,20100106,0600,1950, ,CFS
NML,H,76,INFLOW,20100106,0700,20, ,CFS
NML,H,76,INFLOW,20100106,0800,982, ,CFS
NML,H,76,INFLOW,20100106,0900,26, ,CFS
NML,H,76,INFLOW,20100106,1000,992, ,CFS
NML,H,76,INFLOW,20100106,1100,991, ,CFS
NML,H,76,INFLOW,20100106,1200,1955, ,CFS
NML,H,76,INFLOW,20100106,1300,26, ,CFS
NML,H,76,INFLOW,20100106,1400,990, ,CFS
NML,H,76,INFLOW,20100106,1500,993, ,CFS
NML,H,76,INFLOW,20100106,1600,29, ,CFS
NML,H,76,INFLOW,20100106,1700,336, ,CFS
NML,H,76,INFLOW,20100106,1800,2282, ,CFS
NML,H,76,INFLOW,20100106,1900,476, ,CFS
NML,H,76,INFLOW,20100106,2000,1404, ,CFS
NML,H,76,INFLOW,20100106,2100,1414, ,CFS
NML,H,76,INFLOW,20100106,2200,1234, ,CFS
NML,H,76,INFLOW,20100106,2300,1265, ,CFS
NML,H,76,INFLOW,20100107,0000,196, ,CFS
NML,H,76,INFLOW,20100107,0100,996, ,CFS
NML,H,76,INFLOW,20100107,0200,993, ,CFS
NML,H,76,INFLOW,20100107,0300,995, ,CFS
NML,H,76,INFLOW,20100107,0400,31, ,CFS
NML,H,76,INFLOW,20100107,0500,997, ,CFS
NML,H,76,INFLOW,20100107,0600,31, ,CFS
NML,H,76,INFLOW,20100107,0700,996, ,CFS
NML,H,76,INFLOW,20100107,0800,995, ,CFS
NML,H,76,INFLOW,20100107,0900,979, ,CFS
NML,H,76,INFLOW,20100107,1000,1946, ,CFS
NML,H,76,INFLOW,20100107,1100,17, ,CFS
NML,H,76,INFLOW,20100107,1200,981, ,CFS
NML,H,76,INFLOW,20100107,1300,979, ,CFS
NML,H,76,INFLOW,20100107,1400,1940, ,CFS
NML,H,76,INFLOW,20100107,1500,973, ,CFS
NML,H,76,INFLOW,20100107,1600,8, ,CFS
NML,H,76,INFLOW,20100107,1700,267, ,CFS
NML,H,76,INFLOW,20100107,1800,306, ,CFS
NML,H,76,INFLOW,20100107,1900,1395, ,CFS
NML,H,76,INFLOW,20100107,2000,1335, ,CFS
NML,H,76,INFLOW,20100107,2100,1014, ,CFS
NML,H,76,INFLOW,20100107,2200,406, ,CFS
NML,H,76,INFLOW,20100107,2300,1698, ,CFS
NML,H,76,INFLOW,20100108,0000,196, ,CFS
NML,H,76,INFLOW,20100108,0100,-949, ,CFS
NML,H,76,INFLOW,20100108,0200,980, ,CFS
NML,H,76,INFLOW,20100108,0300,980, ,CFS
NML,H,76,INFLOW,20100108,0400,980, ,CFS
NML,H,76,INFLOW,20100108,0500,980, ,CFS
NML,H,76,INFLOW,20100108,0600,-951, ,CFS
NML,H,76,INFLOW,20100108,0700,1948, ,CFS
NML,H,76,INFLOW,20100108,0800,983, ,CFS
NML,H,76,INFLOW,20100108,0900,982, ,CFS
NML,H,76,INFLOW,20100108,1000,15, ,CFS
NML,H,76,INFLOW,20100108,1100,983, ,CFS
NML,H,76,INFLOW,20100108,1200,982, ,CFS
NML,H,76,INFLOW,20100108,1300,976, ,CFS
NML,H,76,INFLOW,20100108,1400,9, ,CFS
NML,H,76,INFLOW,20100108,1500,10, ,CFS
NML,H,76,INFLOW,20100108,1600,1942, ,CFS
NML,H,76,INFLOW,20100108,1700,12, ,CFS
NML,H,76,INFLOW,20100108,1800,1945, ,CFS
NML,H,76,INFLOW,20100108,1900,976, ,CFS
NML,H,76,INFLOW,20100108,2000,975, ,CFS
NML,H,76,INFLOW,20100108,2100,977, ,CFS
NML,H,76,INFLOW,20100108,2200,978, ,CFS
NML,H,76,INFLOW,20100108,2300,12, ,CFS
NML,H,76,INFLOW,20100109,0000,978, ,CFS
NML,H,76,INFLOW,20100109,0100,977, ,CFS
NML,H,76,INFLOW,20100109,0200,977, ,CFS
NML,H,76,INFLOW,20100109,0300,13, ,CFS
NML,H,76,INFLOW,20100109,0400,-951, ,CFS
NML,H,76,INFLOW,20100109,0500,981, ,CFS
NML,H,76,INFLOW,20100109,0600,1944, ,CFS
NML,H,76,INFLOW,20100109,0700,13, ,CFS
NML,H,76,INFLOW,20100109,0800,979, ,CFS
NML,H,76,INFLOW,20100109,0900,983, ,CFS
NML,H,76,INFLOW,20100109,1000,987, ,CFS
NML,H,76,INFLOW,20100109,1100,987, ,CFS
NML,H,76,INFLOW,20100109,1200,20, ,CFS
NML,H,76,INFLOW,20100109,1300,986, ,CFS
NML,H,76,INFLOW,20100109,1400,20, ,CFS
NML,H,76,INFLOW,20100109,1500,987, ,CFS
NML,H,76,INFLOW,20100109,1600,19, ,CFS
NML,H,76,INFLOW,20100109,1700,986, ,CFS
NML,H,76,INFLOW,20100109,1800,18, ,CFS
NML,H,76,INFLOW,20100109,1900,983, ,CFS
NML,H,76,INFLOW,20100109,2000,1951, ,CFS
NML,H,76,INFLOW,20100109,2100,2916, ,CFS
NML,H,76,INFLOW,20100109,2200,-948, ,CFS
NML,H,76,INFLOW,20100109,2300,16, ,CFS
NML,H,76,INFLOW,20100110,0000,16, ,CFS
NML,H,76,INFLOW,20100110,0100,981, ,CFS
NML,H,76,INFLOW,20100110,0200,16, ,CFS
NML,H,76,INFLOW,20100110,0300,982, ,CFS
NML,H,76,INFLOW,20100110,0400,1949, ,CFS
NML,H,76,INFLOW,20100110,0500,983, ,CFS
NML,H,76,INFLOW,20100110,0600,-951, ,CFS
NML,H,76,INFLOW,20100110,0700,982, ,CFS
NML,H,76,INFLOW,20100110,0800,18, ,CFS
NML,H,76,INFLOW,20100110,0900,14, ,CFS
NML,H,76,INFLOW,20100110,1000,17, ,CFS
NML,H,76,INFLOW,20100110,1100,983, ,CFS
NML,H,76,INFLOW,20100110,1200,1944, ,CFS
NML,H,76,INFLOW,20100110,1300,14, ,CFS
NML,H,76,INFLOW,20100110,1400,14, ,CFS
NML,H,76,INFLOW,20100110,1500,1949, ,CFS
NML,H,76,INFLOW,20100110,1600,13, ,CFS
NML,H,76,INFLOW,20100110,1700,-955, ,CFS
NML,H,76,INFLOW,20100110,1800,978, ,CFS
NML,H,76,INFLOW,20100110,1900,978, ,CFS
NML,H,76,INFLOW,20100110,2000,1944, ,CFS
NML,H,76,INFLOW,20100110,2100,979, ,CFS
NML,H,76,INFLOW,20100110,2200,1944, ,CFS
NML,H,76,INFLOW,20100110,2300,12, ,CFS
NML,H,76,INFLOW,20100111,0000,978, ,CFS
NML,H,76,INFLOW,20100111,0100,12, ,CFS
NML,H,76,INFLOW,20100111,0200,10, ,CFS
NML,H,76,INFLOW,20100111,0300,978, ,CFS
NML,H,76,INFLOW,20100111,0400,11, ,CFS
NML,H,76,INFLOW,20100111,0500,1946, ,CFS
NML,H,76,INFLOW,20100111,0600,13, ,CFS
NML,H,76,INFLOW,20100111,0700,980, ,CFS
NML,H,76,INFLOW,20100111,0800,979, ,CFS
NML,H,76,INFLOW,20100111,0900,15, ,CFS
NML,H,76,INFLOW,20100111,1000,978, ,CFS
NML,H,76,INFLOW,20100111,1100,15, ,CFS
NML,H,76,INFLOW,20100111,1200,1948, ,CFS
NML,H,76,INFLOW,20100111,1300,979, ,CFS
NML,H,76,INFLOW,20100111,1400,981, ,CFS
NML,H,76,INFLOW,20100111,1500,979, ,CFS
NML,H,76,INFLOW,20100111,1600,14, ,CFS
NML,H,76,INFLOW,20100111,1700,330, ,CFS
NML,H,76,INFLOW,20100111,1800,1302, ,CFS
NML,H,76,INFLOW,20100111,1900,2390, ,CFS
NML,H,76,INFLOW,20100111,2000,470, ,CFS
NML,H,76,INFLOW,20100111,2100,1296, ,CFS
NML,H,76,INFLOW,20100111,2200,2159, ,CFS
NML,H,76,INFLOW,20100111,2300,17, ,CFS
NML,H,76,INFLOW,20100112,0000,17, ,CFS
NML,H,76,INFLOW,20100112,0100,983, ,CFS
NML,H,76,INFLOW,20100112,0200,-947, ,CFS
NML,H,76,INFLOW,20100112,0300,1949, ,CFS
NML,H,76,INFLOW,20100112,0400,17, ,CFS
NML,H,76,INFLOW,20100112,0500,-949, ,CFS
NML,H,76,INFLOW,20100112,0600,983, ,CFS
NML,H,76,INFLOW,20100112,0700,3879, ,CFS
NML,H,76,INFLOW,20100112,0800,-1742, ,CFS
NML,H,76,INFLOW,20100112,0900,-927, ,CFS
NML,H,76,INFLOW,20100112,1000,2914, ,CFS
NML,H,76,INFLOW,20100112,1100,982, ,CFS
NML,H,76,INFLOW,20100112,1200,1959, ,CFS
NML,H,76,INFLOW,20100112,1300,19, ,CFS
NML,H,76,INFLOW,20100112,1400,2926, ,CFS
NML,H,76,INFLOW,20100112,1500,-873, ,CFS
NML,H,76,INFLOW,20100112,1600,1116, ,CFS
NML,H,76,INFLOW,20100112,1700,-949, ,CFS
NML,H,76,INFLOW,20100112,1800,17, ,CFS
NML,H,76,INFLOW,20100112,1900,3901, ,CFS
NML,H,76,INFLOW,20100112,2000,1959, ,CFS
NML,H,76,INFLOW,20100112,2100,-951, ,CFS
NML,H,76,INFLOW,20100112,2200,-952, ,CFS
NML,H,76,INFLOW,20100112,2300,1957, ,CFS
NML,H,76,INFLOW,20100113,0000,18, ,CFS
NML,H,76,INFLOW,20100113,0100,988, ,CFS
NML,H,76,INFLOW,20100113,0200,-953, ,CFS
NML,H,76,INFLOW,20100113,0300,3896, ,CFS
NML,H,76,INFLOW,20100113,0400,1958, ,CFS
NML,H,76,INFLOW,20100113,0500,-950, ,CFS
NML,H,76,INFLOW,20100113,0600,-953, ,CFS
NML,H,76,INFLOW,20100113,0700,1958, ,CFS
NML,H,76,INFLOW,20100113,0800,986, ,CFS
NML,H,76,INFLOW,20100113,0900,2930, ,CFS
NML,H,76,INFLOW,20100113,1000,4872, ,CFS
NML,H,76,INFLOW,20100113,1100,990, ,CFS
NML,H,76,INFLOW,20100113,1200,990, ,CFS
NML,H,76,INFLOW,20100113,1300,-949, ,CFS
NML,H,76,INFLOW,20100113,1400,-721, ,CFS
NML,H,76,INFLOW,20100113,1500,611, ,CFS
NML,H,76,INFLOW,20100113,1600,664, ,CFS
NML,H,76,INFLOW,20100113,1700,640, ,CFS
NML,H,76,INFLOW,20100113,1800,2418, ,CFS
NML,H,76,INFLOW,20100113,1900,1304, ,CFS
NML,H,76,INFLOW,20100113,2000,1833, ,CFS
NML,H,76,INFLOW,20100113,2100,915, ,CFS
NML,H,76,INFLOW,20100113,2200,-457, ,CFS
NML,H,76,INFLOW,20100113,2300,902, ,CFS
NML,H,76,INFLOW,20100114,0000,-83, ,CFS
NML,H,76,INFLOW,20100114,0100,171, ,CFS
NML,H,76,INFLOW,20100114,0200,1963, ,CFS
NML,H,76,INFLOW,20100114,0300,25, ,CFS
NML,H,76,INFLOW,20100114,0400,993, ,CFS
NML,H,76,INFLOW,20100114,0500,24, ,CFS
NML,H,76,INFLOW,20100114,0600,995, ,CFS
NML,H,76,INFLOW,20100114,0700,993, ,CFS
NML,H,76,INFLOW,20100114,0800,992, ,CFS
NML,H,76,INFLOW,20100114,0900,26, ,CFS
NML,H,76,INFLOW,20100114,1000,1963, ,CFS
NML,H,76,INFLOW,20100114,1100,24, ,CFS
NML,H,76,INFLOW,20100114,1200,994, ,CFS
NML,H,76,INFLOW,20100114,1300,24, ,CFS
NML,H,76,INFLOW,20100114,1400,989, ,CFS
NML,H,76,INFLOW,20100114,1500,990, ,CFS
NML,H,76,INFLOW,20100114,1600,987, ,CFS
NML,H,76,INFLOW,20100114,1700,-649, ,CFS
NML,H,76,INFLOW,20100114,1800,1273, ,CFS
NML,H,76,INFLOW,20100114,1900,421, ,CFS
NML,H,76,INFLOW,20100114,2000,1429, ,CFS
NML,H,76,INFLOW,20100114,2100,2056, ,CFS
NML,H,76,INFLOW,20100114,2200,735, ,CFS
NML,H,76,INFLOW,20100114,2300,1559, ,CFS
NML,H,76,INFLOW,20100115,0000,1102, ,CFS
NML,H,76,INFLOW,20100115,0100,24, ,CFS
NML,H,76,INFLOW,20100115,0200,23, ,CFS
NML,H,76,INFLOW,20100115,0300,23, ,CFS
NML,H,76,INFLOW,20100115,0400,1964, ,CFS
NML,H,76,INFLOW,20100115,0500,993, ,CFS
NML,H,76,INFLOW,20100115,0600,993, ,CFS
NML,H,76,INFLOW,20100115,0700,993, ,CFS
NML,H,76,INFLOW,20100115,0800,24, ,CFS
NML,H,76,INFLOW,20100115,0900,-947, ,CFS
NML,H,76,INFLOW,20100115,1000,1963, ,CFS
NML,H,76,INFLOW,20100115,1100,24, ,CFS
NML,H,76,INFLOW,20100115,1200,23, ,CFS
NML,H,76,INFLOW,20100115,1300,1959, ,CFS
NML,H,76,INFLOW,20100115,1400,988, ,CFS
NML,H,76,INFLOW,20100115,1500,989, ,CFS
NML,H,76,INFLOW,20100115,1600,20, ,CFS
NML,H,76,INFLOW,20100115,1700,1289, ,CFS
