date,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2010-10-31 00:00:00,709.187132984,29.3568675136,1566.09869522,10.8546406685,701.573304934,3092.25901303
2010-11-30 00:00:00,691.634456068,29.3568675136,1639.73213582,10.8546406685,920.347975747,954.078154149
2010-12-31 00:00:00,1202.64482103,29.3568675136,1853.10730381,10.8546406685,1233.48186733,1177.07028799
2011-01-31 00:00:00,228.428344572,29.3568675136,2006.096324,10.8546406685,1233.48186733,662.02387388
2011-02-28 00:00:00,400.08495197,29.3568675136,2148.14351421,10.8546406685,1233.48186733,1314.77317042
2011-03-31 00:00:00,1202.64482103,29.3568675136,2477.20929507,10.8546406685,1025.67865525,3081.78622292
2011-04-30 00:00:00,1202.64482103,29.3568675136,2751.95608405,10.8546406685,856.300638798,4230.7704846
2011-05-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,849.533261097,5098.76307487
2011-06-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2011-07-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2011-08-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2011-09-30 00:00:00,374.576471834,29.3568675136,2910.70674406,10.8546406685,1233.48186733,1815.32897363
2011-10-31 00:00:00,472.820392432,29.3568675136,2985.02611985,10.8546406685,1233.48186733,2117.66070967
2011-11-30 00:00:00,544.100644217,29.3568675136,2985.02611985,10.8546406685,1233.48186733,1927.19281866
2011-12-31 00:00:00,591.996164773,29.3568675136,2985.02611985,10.8546406685,1233.48186733,2243.23377243
2012-01-31 00:00:00,236.394402346,29.3568675136,2759.76039271,10.8546406685,1233.48186733,2601.05740436
2012-03-31 00:00:00,648.673599666,29.3568675136,2859.1790272,10.8546406685,1233.48186733,3592.02053628
2012-04-30 00:00:00,1160.23723007,29.3568675136,2985.02611985,10.8546406685,1233.48186733,4537.29251978
2012-05-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5038.21773898
2012-06-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5359.76956974
2012-07-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2012-08-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2012-09-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2012-10-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2012-11-30 00:00:00,619.512992245,29.3568675136,2985.02611985,10.8546406685,1233.48186733,4506.7017311
2012-12-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-01-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-02-28 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-03-31 00:00:00,1001.46407251,29.3568675136,2985.02611985,10.8546406685,1233.48186733,4503.6728592
2013-04-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5007.37854969
2013-05-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5329.19870324
2013-06-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-07-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-08-31 00:00:00,1136.62779228,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5122.76079398
2013-09-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5373.27703473
2013-10-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-11-30 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,5614.93293015
2013-12-31 00:00:00,1171.82250252,29.3568675136,2947.36256306,10.8546406685,1233.48186733,4554.95393506
2014-01-31 00:00:00,1202.64482103,29.3568675136,2985.02611985,10.8546406685,1233.48186733,4803.86270485
2014-02-28 00:00:00,111.01336589,29.3568675136,2766.70504834,10.8546406685,890.032857885,1096.8737316
2014-03-31 00:00:00,313.300113416,29.3568675136,2819.81412545,10.8546406685,937.194237991,1781.08533647
2014-04-30 00:00:00,511.35287693,29.3568675136,2879.42313018,10.8546406685,1058.07827734,2236.0993678
2014-05-31 00:00:00,628.662271434,29.3568675136,2935.38287437,10.8546406685,1233.48186733,2493.62282442
2014-06-30 00:00:00,704.107823925,29.3568675136,2985.02611985,10.8546406685,1233.48186733,2715.08959451
2014-07-31 00:00:00,783.431569721,29.3568675136,2985.02611985,10.8546406685,1233.48186733,2919.668158
2014-08-31 00:00:00,890.876124085,29.3568675136,2985.02611985,10.8546406685,1233.48186733,2397.32314584
2014-09-30 00:00:00,961.934883183,29.3568675136,2985.02611985,10.8546406685,1233.48186733,1340.38420618
2014-10-31 00:00:00,1007.05725945,29.3568675136,2985.02611985,10.8546406685,1233.48186733,1570.03533049
2014-11-30 00:00:00,450.238295632,29.3568675136,2786.39414315,10.8546406685,1233.48186733,1012.83994261
2014-12-31 00:00:00,689.329518636,29.3568675136,2848.1004127,10.8546406685,1233.48186733,2124.09086141
