date,Shasta,Keswick,Folsom,Nimbus,New Melones,Pine Flat
2010-10-31 00:00:00,4444.86766484,1.81277483283e-06,1111.14224211,1.4434591564e-09,2.73111241053e-09,2.32357383777e-09
2010-11-30 00:00:00,514080.0,84240.0,34602.1047385,4625.40534309,3.06135639016e-09,4.96624115018e-09
2010-12-31 00:00:00,172260.690962,46871.1257807,69608.8758403,8109.48103582,3.94704998596e-09,13817.172985
2011-01-31 00:00:00,202283.586594,64489.4242255,149040.0,9720.0,5.1404453623e-09,55744.5356583
2011-02-28 00:00:00,1.35114250986e-08,6.0858226884e-07,35670.8174265,5406.11589689,4.57813908186e-09,43256.6131674
2011-03-31 00:00:00,6.111575209e-09,6.06230517995e-07,53410.6708342,6222.37921553,4.9181596348e-09,118800.0
2011-04-30 00:00:00,1.58221348774e-08,6.07899066535e-07,149040.0,9720.0,1.03345512154e-08,118800.0
2011-05-31 00:00:00,7.07673662909e-08,6.17161647833e-07,149040.0,9720.0,56683.349748,118800.0
2011-06-30 00:00:00,68297.7870707,11310.3370946,149040.0,9720.0,216000.0,118800.0
2011-07-31 00:00:00,136181.949567,22552.1766052,93626.4468908,9720.0,109912.537818,118800.0
2011-08-31 00:00:00,131155.873049,21719.8418823,38464.6961064,4481.16306816,44151.6420042,52980.6456178
2011-09-30 00:00:00,514080.0,84240.0,149040.0,9720.0,76114.8334417,26798.4977507
2011-10-31 00:00:00,1.2049753565e-08,6.07764666664e-07,3.44368132786e-09,2.72629079428e-07,2.60332923248e-08,19201.50933
2011-11-30 00:00:00,136534.249446,31723.6009173,4.20216311518e-06,8.64450986862e-07,35089.7120797,17607.3816235
2011-12-31 00:00:00,1.25585707303e-08,6.0782996318e-07,6541.13998706,904.589343772,40950.1735573,12049.8694311
2012-01-31 00:00:00,6.68166773403e-09,6.06466656304e-07,78571.5869058,9720.0,133036.463762,15890.3412785
2012-03-31 00:00:00,1.64074353402e-09,6.05286571195e-07,2.77693664138e-09,2.72466735144e-07,1.07028880589e-08,21869.9857695
2012-04-30 00:00:00,1.35327279019e-09,6.05172701773e-07,2.31256359547e-09,2.72345082395e-07,1.42736544462e-08,58895.410467
2012-05-31 00:00:00,2.04323386892e-09,6.05337231676e-07,60107.1809984,7002.52717114,37980.8609869,67268.1200132
2012-06-30 00:00:00,1.84371252189e-09,6.05263081853e-07,28580.0223574,3329.59190222,29973.5764183,30963.5875238
2012-07-31 00:00:00,2.34357600015e-09,6.05340622896e-07,23543.7533365,2742.8631608,26333.0116686,18674.1050178
2012-08-31 00:00:00,91007.0402194,15071.0637489,26330.2994351,3067.49766276,27044.0846952,18457.7056673
2012-09-30 00:00:00,91281.1981525,15116.4652,23538.3801876,2742.23718532,25322.5665931,8791.36526449
2012-10-31 00:00:00,86812.3935773,14376.4165348,19369.1091014,2256.51428868,19753.6730419,7910.14390278
2012-11-30 00:00:00,514080.0,84240.0,144214.635935,9720.0,25025.5792168,6637.76410721
2012-12-31 00:00:00,7.30880924144e-09,6.0626020989e-07,1.11674085392e-08,2.73427759341e-07,52430.7604484,16740.9129164
2013-01-31 00:00:00,167621.356159,27758.6452456,48199.6162744,5615.28784078,32459.8453031,14818.5081797
2013-02-28 00:00:00,165565.080246,27418.1192237,34664.1677204,4038.39894506,35580.6264179,15396.8927627
2013-03-31 00:00:00,514080.0,84240.0,84901.9605512,9720.0,41513.2685309,23468.6845215
2013-04-30 00:00:00,7.88979198715e-09,6.06449958114e-07,9.48381945421e-09,2.73246501505e-07,37578.2380959,43869.2870024
