date,DELTA,INFLOW,flow_Folsom,flow_Keswick,flow_New Melones,flow_Nimbus,flow_Pine Flat,flow_Shasta,spill_Folsom,spill_Keswick,spill_New Melones,spill_Nimbus,spill_Pine Flat,spill_Shasta,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2010-10-31 00:00:00,-389292.174245,1.57773970617e-08,-3963291.19591,-389595.695728,-1535180.29745,-559841.94725,-1239497.89769,-3792367.75437,-60674131.2493,-57160801.8667,-58266968.8294,-57326391.7033,-57990150.847,-60449823.273,-7365835.7048,-3792367.75437,-4938633.20165,-3963291.19591,-4642950.5529,-7194912.26326
2010-11-30 00:00:00,-3.42576688226e-09,1.14525368374e-08,-3518580.43794,-7.08589667612e-09,-1037350.91366,-5.69272256828e-08,-447133.733121,-3518580.43794,-60279219.9317,-56812603.6825,-57796558.5731,-56812630.977,-57218027.6329,-60278574.2424,-7037160.87589,-3518580.43794,-4556839.67359,-3518580.43794,-3966621.45546,-7037160.87589
2010-12-31 00:00:00,-8.11390474314e-09,3.81082674968e-09,-3349840.88614,-1.98528796684e-08,-839634.249836,-3.8629535662e-08,-1.97192274082e-07,-3349840.88614,-60024037.4683,-56725117.1056,-57516486.5117,-56725242.994,-56711357.3306,-60022670.3186,-6699681.77228,-3349840.88614,-4190383.27171,-3349840.88614,-3349840.88614,-6699681.77228
2011-01-31 00:00:00,-3.44584085224e-09,6.96603456888e-09,-3193816.6517,-1.1977766216e-08,-663454.403104,-1.00395086258e-08,-5.03119321726e-08,-3193816.6517,-59787448.3938,-56644866.9569,-54416787.8994,-56644674.0465,-56631374.1799,-59787972.1606,-6387633.3034,-3193816.6517,-3858178.92967,-3193816.6517,-3193816.6517,-6387633.3034
2011-02-28 00:00:00,-2.6039446023e-08,6.88962214508e-09,-2780769.89765,-904.09215685,-759020.58095,-7.18146268384e-08,-8.64354945998e-08,-2936125.25046,-59171338.8649,-56463160.4887,-57151736.8746,-56436880.9367,-56424430.4994,-59334588.7955,-5561539.7953,-2782127.28444,-3540698.51079,-2780769.89765,-2780769.89765,-5717798.93818
2011-03-31 00:00:00,-1.26057661637e-08,2.65933878493e-09,-2487517.54461,-907.600371513,-741139.022127,-5.23760732079e-08,-3.10612672509e-08,-2931576.86708,-58733886.9331,-56356453.2834,-56987453.2949,-56289580.6136,-56277552.1468,-59172245.6568,-4975035.08921,-2488879.31957,-3229564.57295,-2487517.54461,-2487517.54461,-5420001.67372
2011-04-30 00:00:00,-6.45813384364e-09,3.40545194427e-09,-2534184.14099,-905.108597909,-371258.552994,-1.75578482339e-08,-2.19018931791e-08,-2725174.92129,-58800553.4121,-56343038.7604,-56649527.3809,-56312648.2502,-55952236.3713,-59005129.6669,-5068368.28199,-2535542.79951,-2906349.61066,-2534184.14099,-1835592.59902,-5260263.85038
2011-05-31 00:00:00,-6.58407542228e-09,3.6606634408e-09,-2544035.75634,-890.953713881,-7.76746127009e-08,-2.02707141711e-08,-2.20278347577e-08,-2590640.07028,-58817817.7904,-56324171.8038,-56305836.3771,-56317535.745,-55644067.798,-59199427.0473,-5088071.51268,-2545376.7579,-2544035.75634,-2544035.75634,-1217991.25233,-5135566.65234
2011-06-30 00:00:00,-4.44735202391e-09,3.07821364913e-09,-2504361.80797,-5.30947970987e-08,-2.29411488738e-08,-1.61468784784e-08,-1.98911113593e-08,-2504361.80797,-58756682.1808,-56297091.198,-56285469.0793,-56297287.144,-55335169.8579,-59335792.6053,-5008723.61595,-2504361.80797,-2504361.80797,-2504361.80797,-599137.290643,-5008723.61595
2011-07-31 00:00:00,-5.70575959664e-09,5.67346070535e-09,-3327675.2129,-3.01033599702e-08,-4.23680896633e-08,-2.83933528198e-08,-2.15987204841e-08,-3327675.2129,-59984452.2977,-56708931.6631,-56695520.8179,-56709192.4036,-56696620.2173,-59919759.2126,-6655350.42581,-3327675.2129,-3327675.2129,-3327675.2129,-3327675.2129,-6655350.42581
