link,value
"('spill_New Melones.2010-11-30 00:00:00', 'flow_New Melones.2010-11-30 00:00:00')",-9.99981628992e-09
"('flow_New Melones.2010-11-30 00:00:00', 'DELTA.2010-11-30 00:00:00')",-9.99127184515e-09
"('INFLOW.2010-11-30 00:00:00', 'stor_Pine Flat.2010-11-30 00:00:00')",219.435302909
"('stor_Pine Flat.2010-11-30 00:00:00', 'flow_Pine Flat.2010-11-30 00:00:00')",2.00666561746e-11
"('stor_Pine Flat.2010-11-30 00:00:00', 'spill_Pine Flat.2010-11-30 00:00:00')",-9.9998268931e-09
"('spill_Pine Flat.2010-11-30 00:00:00', 'flow_Pine Flat.2010-11-30 00:00:00')",-9.99981377942e-09
"('flow_Pine Flat.2010-11-30 00:00:00', 'DELTA.2010-11-30 00:00:00')",-9.97970792225e-09
"('SUPERSOURCE', 'INFLOW.2010-12-31 00:00:00')",2385.54715796
"('DELTA.2010-12-31 00:00:00', 'SUPERSINK')",1120.41099323
"('INFLOW.2010-12-31 00:00:00', 'stor_Shasta.2010-12-31 00:00:00')",998.388609122
"('stor_Shasta.2010-12-31 00:00:00', 'flow_Shasta.2010-12-31 00:00:00')",774.420973266
"('stor_Shasta.2010-12-31 00:00:00', 'spill_Shasta.2010-12-31 00:00:00')",-9.9998397332e-09
"('spill_Shasta.2010-12-31 00:00:00', 'flow_Shasta.2010-12-31 00:00:00')",-9.99983966143e-09
"('flow_Shasta.2010-12-31 00:00:00', 'stor_Keswick.2010-12-31 00:00:00')",774.420973256
"('INFLOW.2010-12-31 00:00:00', 'stor_Keswick.2010-12-31 00:00:00')",9.99727051764e-09
"('stor_Keswick.2010-12-31 00:00:00', 'flow_Keswick.2010-12-31 00:00:00')",774.420973276
"('stor_Keswick.2010-12-31 00:00:00', 'spill_Keswick.2010-12-31 00:00:00')",-9.99983968401e-09
"('spill_Keswick.2010-12-31 00:00:00', 'flow_Keswick.2010-12-31 00:00:00')",-9.99983971075e-09
"('flow_Keswick.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",774.420973266
"('INFLOW.2010-12-31 00:00:00', 'stor_Folsom.2010-12-31 00:00:00')",810.426590822
"('stor_Folsom.2010-12-31 00:00:00', 'flow_Folsom.2010-12-31 00:00:00')",297.909908662
"('stor_Folsom.2010-12-31 00:00:00', 'spill_Folsom.2010-12-31 00:00:00')",-9.99983973192e-09
"('spill_Folsom.2010-12-31 00:00:00', 'flow_Folsom.2010-12-31 00:00:00')",-9.99983966272e-09
"('flow_Folsom.2010-12-31 00:00:00', 'stor_Nimbus.2010-12-31 00:00:00')",297.909908652
"('INFLOW.2010-12-31 00:00:00', 'stor_Nimbus.2010-12-31 00:00:00')",9.99727051764e-09
"('stor_Nimbus.2010-12-31 00:00:00', 'flow_Nimbus.2010-12-31 00:00:00')",297.909908672
