date,INFLOW-stor_Folsom,INFLOW-stor_Keswick,INFLOW-stor_New Melones,INFLOW-stor_Nimbus,INFLOW-stor_Pine Flat,INFLOW-stor_Shasta,flow_Folsom-stor_Nimbus,flow_Keswick-DELTA,flow_New Melones-DELTA,flow_Nimbus-DELTA,flow_Pine Flat-DELTA,flow_Shasta-stor_Keswick,spill_Folsom-flow_Folsom,spill_Keswick-flow_Keswick,spill_New Melones-flow_New Melones,spill_Nimbus-flow_Nimbus,spill_Pine Flat-flow_Pine Flat,spill_Shasta-flow_Shasta,stor_Folsom-flow_Folsom,stor_Folsom-spill_Folsom,stor_Keswick-flow_Keswick,stor_Keswick-spill_Keswick,stor_New Melones-flow_New Melones,stor_New Melones-spill_New Melones,stor_Nimbus-flow_Nimbus,stor_Nimbus-spill_Nimbus,stor_Pine Flat-flow_Pine Flat,stor_Pine Flat-spill_Pine Flat,stor_Shasta-flow_Shasta,stor_Shasta-spill_Shasta
2010-10-31 00:00:00,7365839.68575,3792822.35504,4938639.29082,3963745.79422,4642955.87945,7194913.76821,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,3.077807168e-09,-9.09081818182e-11,1.96839160651e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,3.06388069598e-09,-9.09081818182e-11,1.53528511536e-08,-9.09081818182e-11,2.13073459036e-09,-9.09081818182e-11
2010-11-30 00:00:00,7037163.84226,3519035.04284,4556845.7548,3519035.04284,3966623.52689,7037162.18817,-9.09081818182e-11,-9.0908181818e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.0908181818e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,3.27053554628e-09,-9.09081818182e-11,4.6174669909e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,3.2615640505e-09,-9.09081818182e-11,1.53528511536e-08,-9.09081818182e-11,5.51078180855e-09,-9.09081818182e-11
2010-12-31 00:00:00,6699682.33315,3350295.494,4190385.38949,3350295.494,3349842.14145,6699682.22756,-9.09081818182e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,3.43752140023e-09,-9.09081818182e-11,2.40649715263e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,3.42763772452e-09,-9.09081818182e-11,1.67264812754e-08,-9.09081818182e-11,2.63726513147e-09,-9.09081818182e-11
2011-01-31 00:00:00,6387634.42628,3194271.26257,3858181.87457,3194271.26257,3193818.98436,6387634.12832,-9.09081818181e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,5.98732083312e-09,-9.09081818182e-11,2.62356921764e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,5.95805024984e-09,-9.09081818182e-11,2.29433040393e-08,-9.09081818182e-11,2.89840423461e-09,-9.09081818182e-11
2011-02-28 00:00:00,5561541.02129,2782581.90636,3540701.67825,2781224.51813,2780772.8998,5717799.63337,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,3.3065649212e-09,-9.09081818182e-11,1.9683916065e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,3.29740033639e-09,-9.09081818182e-11,2.06586928474e-08,-9.09081818182e-11,2.12279375608e-09,-9.09081818182e-11
2011-03-31 00:00:00,4975035.52939,2489333.95014,3229565.94725,2487972.17384,2487519.13661,5420001.93059,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,3.34507031301e-09,-9.09081818182e-11,1.9683916065e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,3.33569710328e-09,-9.09081818182e-11,9.45461386737e-08,-9.09081818182e-11,2.12279375608e-09,-9.09081818182e-11
2011-04-30 00:00:00,5068368.83595,2535997.42865,2906351.25391,2534638.7687,1835593.68157,5260264.24478,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,4.33211183614e-09,-9.09081818182e-11,1.9683916065e-09,-9.09081818182e-11,1.55459566793e-08,-9.09081818182e-11,4.31659207556e-09,-9.09081818182e-11,698591.541975,-9.09081818182e-11,2.12279375608e-09,-9.09081818182e-11
2011-05-31 00:00:00,5088072.19547,2545831.38676,2544037.00863,2544490.38373,1217992.03268,5135567.17347,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,4.02231536873e-09,-9.09081818182e-11,1.9683916065e-09,-9.09081818182e-11,1.9955251149e-08,-9.09081818182e-11,4.00889023574e-09,-9.09081818182e-11,1326044.50402,-9.09081818182e-11,2.12279375608e-09,-9.09081818182e-11
2011-06-30 00:00:00,5008724.19979,2504816.43665,2504362.72887,2504816.43665,599137.757572,5008724.25824,-9.09081818181e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818181e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,4.24356152393e-09,-9.09081818182e-11,2.05941732422e-09,-9.09081818182e-11,1.01131323105e-07,-9.09081818182e-11,4.228655917e-09,-9.09081818182e-11,1905224.51733,-9.09081818182e-11,2.22833080659e-09,-9.09081818182e-11
2011-07-31 00:00:00,6655351.55594,3328129.82117,3327677.03117,3328129.82117,3327676.00632,6655351.63064,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818181e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,-9.09081818182e-11,3.58413920569e-09,-9.09081818182e-11,2.15823233973e-09,-9.09081818182e-11,2.71752627957e-08,-9.09081818182e-11,3.573418314e-09,-9.09081818182e-11,5.46316578671e-07,-9.09081818182e-11,2.34369633138e-09,-9.09081818182e-11
