link,value
"('stor_Shasta.2011-07-31 00:00:00', 'stor_Shasta.2011-08-31 00:00:00')",5614.93293015
"('stor_Keswick.2011-07-31 00:00:00', 'stor_Keswick.2011-08-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-07-31 00:00:00', 'stor_Folsom.2011-08-31 00:00:00')",1202.64482103
"('stor_Nimbus.2011-07-31 00:00:00', 'stor_Nimbus.2011-08-31 00:00:00')",10.8546406685
"('stor_New Melones.2011-07-31 00:00:00', 'stor_New Melones.2011-08-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2011-07-31 00:00:00', 'stor_Pine Flat.2011-08-31 00:00:00')",1233.48186733
"('stor_Shasta.2011-08-31 00:00:00', 'stor_Shasta.2011-09-30 00:00:00')",5614.93293015
"('stor_Keswick.2011-08-31 00:00:00', 'stor_Keswick.2011-09-30 00:00:00')",29.3568675136
"('stor_Folsom.2011-08-31 00:00:00', 'stor_Folsom.2011-09-30 00:00:00')",1202.64482103
"('stor_Nimbus.2011-08-31 00:00:00', 'stor_Nimbus.2011-09-30 00:00:00')",10.8546406685
"('stor_New Melones.2011-08-31 00:00:00', 'stor_New Melones.2011-09-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2011-08-31 00:00:00', 'stor_Pine Flat.2011-09-30 00:00:00')",1233.48186733
"('stor_Shasta.2011-09-30 00:00:00', 'stor_Shasta.2011-10-31 00:00:00')",1815.32897363
"('stor_Keswick.2011-09-30 00:00:00', 'stor_Keswick.2011-10-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-09-30 00:00:00', 'stor_Folsom.2011-10-31 00:00:00')",374.576471834
"('stor_Nimbus.2011-09-30 00:00:00', 'stor_Nimbus.2011-10-31 00:00:00')",10.8546406685
"('stor_New Melones.2011-09-30 00:00:00', 'stor_New Melones.2011-10-31 00:00:00')",2910.70674406
"('stor_Pine Flat.2011-09-30 00:00:00', 'stor_Pine Flat.2011-10-31 00:00:00')",1233.48186733
"('stor_Shasta.2011-10-31 00:00:00', 'stor_Shasta.2011-11-30 00:00:00')",2117.66070967
"('stor_Keswick.2011-10-31 00:00:00', 'stor_Keswick.2011-11-30 00:00:00')",29.3568675136
"('stor_Folsom.2011-10-31 00:00:00', 'stor_Folsom.2011-11-30 00:00:00')",472.820392432
"('stor_Nimbus.2011-10-31 00:00:00', 'stor_Nimbus.2011-11-30 00:00:00')",10.8546406685
"('stor_New Melones.2011-10-31 00:00:00', 'stor_New Melones.2011-11-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2011-10-31 00:00:00', 'stor_Pine Flat.2011-11-30 00:00:00')",1233.48186733
"('stor_Shasta.2011-11-30 00:00:00', 'stor_Shasta.2011-12-31 00:00:00')",1927.19281866
"('stor_Keswick.2011-11-30 00:00:00', 'stor_Keswick.2011-12-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-11-30 00:00:00', 'stor_Folsom.2011-12-31 00:00:00')",544.100644217
"('stor_Nimbus.2011-11-30 00:00:00', 'stor_Nimbus.2011-12-31 00:00:00')",10.8546406685
"('stor_New Melones.2011-11-30 00:00:00', 'stor_New Melones.2011-12-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2011-11-30 00:00:00', 'stor_Pine Flat.2011-12-31 00:00:00')",1233.48186733
"('stor_Shasta.2011-12-31 00:00:00', 'stor_Shasta.2012-01-31 00:00:00')",2243.23377243
"('stor_Keswick.2011-12-31 00:00:00', 'stor_Keswick.2012-01-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-12-31 00:00:00', 'stor_Folsom.2012-01-31 00:00:00')",591.996164773
"('stor_Nimbus.2011-12-31 00:00:00', 'stor_Nimbus.2012-01-31 00:00:00')",10.8546406685
"('stor_New Melones.2011-12-31 00:00:00', 'stor_New Melones.2012-01-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2011-12-31 00:00:00', 'stor_Pine Flat.2012-01-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-01-31 00:00:00', 'stor_Shasta.2012-03-31 00:00:00')",2601.05740436
"('stor_Keswick.2012-01-31 00:00:00', 'stor_Keswick.2012-03-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-01-31 00:00:00', 'stor_Folsom.2012-03-31 00:00:00')",236.394402346
"('stor_Nimbus.2012-01-31 00:00:00', 'stor_Nimbus.2012-03-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-01-31 00:00:00', 'stor_New Melones.2012-03-31 00:00:00')",2759.76039271
"('stor_Pine Flat.2012-01-31 00:00:00', 'stor_Pine Flat.2012-03-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-03-31 00:00:00', 'stor_Shasta.2012-04-30 00:00:00')",3592.02053628
"('stor_Keswick.2012-03-31 00:00:00', 'stor_Keswick.2012-04-30 00:00:00')",29.3568675136
"('stor_Folsom.2012-03-31 00:00:00', 'stor_Folsom.2012-04-30 00:00:00')",648.673599666
"('stor_Nimbus.2012-03-31 00:00:00', 'stor_Nimbus.2012-04-30 00:00:00')",10.8546406685
"('stor_New Melones.2012-03-31 00:00:00', 'stor_New Melones.2012-04-30 00:00:00')",2859.1790272
"('stor_Pine Flat.2012-03-31 00:00:00', 'stor_Pine Flat.2012-04-30 00:00:00')",1233.48186733
"('stor_Shasta.2012-04-30 00:00:00', 'stor_Shasta.2012-05-31 00:00:00')",4537.29251978
"('stor_Keswick.2012-04-30 00:00:00', 'stor_Keswick.2012-05-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-04-30 00:00:00', 'stor_Folsom.2012-05-31 00:00:00')",1160.23723007
"('stor_Nimbus.2012-04-30 00:00:00', 'stor_Nimbus.2012-05-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-04-30 00:00:00', 'stor_New Melones.2012-05-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-04-30 00:00:00', 'stor_Pine Flat.2012-05-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-05-31 00:00:00', 'stor_Shasta.2012-06-30 00:00:00')",5038.21773898
"('stor_Keswick.2012-05-31 00:00:00', 'stor_Keswick.2012-06-30 00:00:00')",29.3568675136
"('stor_Folsom.2012-05-31 00:00:00', 'stor_Folsom.2012-06-30 00:00:00')",1202.64482103
"('stor_Nimbus.2012-05-31 00:00:00', 'stor_Nimbus.2012-06-30 00:00:00')",10.8546406685
"('stor_New Melones.2012-05-31 00:00:00', 'stor_New Melones.2012-06-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-05-31 00:00:00', 'stor_Pine Flat.2012-06-30 00:00:00')",1233.48186733
"('stor_Shasta.2012-06-30 00:00:00', 'stor_Shasta.2012-07-31 00:00:00')",5359.76956974
"('stor_Keswick.2012-06-30 00:00:00', 'stor_Keswick.2012-07-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-06-30 00:00:00', 'stor_Folsom.2012-07-31 00:00:00')",1202.64482103
"('stor_Nimbus.2012-06-30 00:00:00', 'stor_Nimbus.2012-07-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-06-30 00:00:00', 'stor_New Melones.2012-07-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-06-30 00:00:00', 'stor_Pine Flat.2012-07-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-07-31 00:00:00', 'stor_Shasta.2012-08-31 00:00:00')",5614.93293015
"('stor_Keswick.2012-07-31 00:00:00', 'stor_Keswick.2012-08-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-07-31 00:00:00', 'stor_Folsom.2012-08-31 00:00:00')",1202.64482103
"('stor_Nimbus.2012-07-31 00:00:00', 'stor_Nimbus.2012-08-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-07-31 00:00:00', 'stor_New Melones.2012-08-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-07-31 00:00:00', 'stor_Pine Flat.2012-08-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-08-31 00:00:00', 'stor_Shasta.2012-09-30 00:00:00')",5614.93293015
"('stor_Keswick.2012-08-31 00:00:00', 'stor_Keswick.2012-09-30 00:00:00')",29.3568675136
"('stor_Folsom.2012-08-31 00:00:00', 'stor_Folsom.2012-09-30 00:00:00')",1202.64482103
